rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0291.jpg,116.4,0.7638,0.763,0.7143,0.84,7,5,False,True
2,frame_0069.jpg,27.6,0.7143,0.6858,0.5714,1.0,6,4,False,True
3,frame_0073.jpg,29.2,0.7006,0.6584,0.5714,1.0,6,4,False,False
4,frame_0008.jpg,3.2,0.6887,0.8059,0.2857,1.0,3,2,False,True
5,frame_0021.jpg,8.4,0.6757,0.6942,0.4286,1.0,5,3,False,True
6,frame_0176.jpg,70.4,0.6742,0.7382,0.8571,0.24,7,6,False,True
7,frame_0367.jpg,146.8,0.6723,0.7983,0.8571,0.08,9,6,False,True
8,frame_0019.jpg,7.6,0.672,0.7725,0.2857,1.0,2,2,False,False
9,frame_0020.jpg,8.0,0.6706,0.5983,0.5714,1.0,4,4,False,False
10,frame_0000.jpg,0.0,0.6688,0.6805,0.4286,1.0,5,3,False,True
11,frame_0079.jpg,31.6,0.662,0.6612,0.5714,0.8,6,4,False,True
12,frame_0378.jpg,151.2,0.6577,0.6833,1.0,0.08,10,7,False,True
13,frame_0387.jpg,154.8,0.6547,0.8009,0.7143,0.2,8,5,False,True
14,frame_0009.jpg,3.6,0.6537,0.9073,0.0,1.0,2,0,False,False
15,frame_0386.jpg,154.4,0.6349,0.831,0.5714,0.24,7,4,False,False
16,frame_0029.jpg,11.6,0.6345,0.5261,0.5714,1.0,5,4,False,True
17,frame_0114.jpg,45.6,0.6333,0.7261,0.7143,0.28,7,5,False,True
18,frame_0003.jpg,1.2,0.6305,0.6038,0.4286,1.0,5,3,False,False
19,frame_0276.jpg,110.4,0.6232,0.8075,0.5714,0.24,8,4,False,False
20,frame_0072.jpg,28.8,0.6197,0.5822,0.4286,1.0,6,3,False,False
21,frame_0007.jpg,2.8,0.6186,0.4944,0.5714,1.0,5,4,False,False
22,frame_0211.jpg,84.4,0.6166,0.8058,0.2857,0.64,2,2,False,False
23,frame_0027.jpg,10.8,0.6152,0.6589,0.2857,1.0,3,2,False,False
24,frame_0078.jpg,31.2,0.6067,0.5346,0.5714,0.84,5,4,False,False
25,frame_0290.jpg,116.0,0.6045,0.5461,0.5714,0.8,7,4,False,False
26,frame_0306.jpg,122.4,0.6036,0.7684,0.5714,0.24,7,4,False,False
27,frame_0071.jpg,28.4,0.6015,0.6316,0.2857,1.0,4,2,False,False
28,frame_0033.jpg,13.2,0.6008,0.6301,0.2857,1.0,7,2,False,False
29,frame_0375.jpg,150.0,0.5982,0.6878,0.7143,0.2,10,5,False,False
30,frame_0379.jpg,151.6,0.5974,0.7503,0.7143,0.04,9,5,False,False
31,frame_0113.jpg,45.2,0.5961,0.6676,0.7143,0.24,6,5,False,False
32,frame_0319.jpg,127.6,0.5935,0.5607,0.8571,0.28,7,6,False,False
33,frame_0074.jpg,29.6,0.588,0.6046,0.2857,1.0,7,2,False,False
34,frame_0318.jpg,127.2,0.587,0.7352,0.5714,0.24,8,4,False,False
35,frame_0368.jpg,147.2,0.5842,0.8096,0.5714,0.04,8,4,False,False
36,frame_0030.jpg,12.0,0.5841,0.5111,0.4286,1.0,7,3,False,False
37,frame_0132.jpg,52.8,0.5824,0.5933,0.2857,1.0,6,2,False,False
38,frame_0209.jpg,83.6,0.5824,0.7054,0.2857,0.72,3,2,False,False
39,frame_0170.jpg,68.0,0.5815,0.6282,0.5714,0.48,9,4,False,False
40,frame_0220.jpg,88.0,0.5788,0.8741,0.2857,0.28,2,2,False,False
41,frame_0011.jpg,4.4,0.5785,0.5855,0.2857,1.0,3,2,False,False
42,frame_0023.jpg,9.2,0.5779,0.67,0.1429,1.0,1,1,False,False
